timestamp_utc,symbol,qty,market_value,side
2026-05-18T12:33:22+00:00,ORCL,121.0,23120.68,long
2026-05-18T12:33:22+00:00,ORLY,-1.0,-88.6997,short
2026-05-18T12:33:22+00:00,OXY,434.0,25779.6,long
2026-05-18T12:33:22+00:00,PCG,1397.0,22561.55,long
2026-05-18T12:33:22+00:00,PLD,-35.0,-4904.2,short
2026-05-18T12:33:22+00:00,PNC,-25.0,-5321.0,short
2026-05-18T12:33:22+00:00,PPG,402.0,41261.28,long
2026-05-18T12:33:22+00:00,PSKY,2031.0,20066.28,long
2026-05-18T12:33:22+00:00,PSX,-64.0,-11256.96,short
2026-05-18T12:33:22+00:00,PYPL,-106.0,-4685.1894,short
2026-05-18T12:33:22+00:00,QCOM,133.0,26783.54,long
2026-05-18T12:33:22+00:00,ROP,61.0,19574.9,long
2026-05-18T12:33:22+00:00,SBUX,-47.0,-4991.4,short
2026-05-18T12:33:22+00:00,SHW,68.0,20226.6,long
2026-05-18T12:33:22+00:00,SLB,-102.0,-5648.76,short
2026-05-18T12:33:22+00:00,SMCI,673.0,20821.0048,long
2026-05-18T12:33:22+00:00,SPGI,56.0,22601.6,long
2026-05-18T12:33:22+00:00,SRE,-52.0,-4702.36,short
2026-05-18T12:33:22+00:00,STT,-35.0,-5320.0,short
2026-05-18T12:33:22+00:00,SWK,609.0,45760.26,long
2026-05-18T12:33:22+00:00,SWKS,1.0,68.55,long
2026-05-18T12:33:22+00:00,SYK,-17.0,-5185.0,short
2026-05-18T12:33:22+00:00,SYY,358.0,25904.88,long
2026-05-18T12:33:22+00:00,TDG,19.0,21830.62,long
2026-05-18T12:33:22+00:00,TFC,-1.0,-46.7,short
2026-05-18T12:33:22+00:00,TGT,8.0,969.6,long
2026-05-18T12:33:22+00:00,TMO,47.0,20539.0,long
2026-05-18T12:33:22+00:00,TRV,-34.0,-10157.5,short
2026-05-18T12:33:22+00:00,TSN,-88.0,-5793.92,short
2026-05-18T12:33:22+00:00,TT,-11.0,-5109.39,short
2026-05-18T12:33:22+00:00,TTD,1058.0,22376.7,long
2026-05-18T12:33:22+00:00,ULTA,44.0,21726.76,long
2026-05-18T12:33:22+00:00,UNH,-13.0,-4944.42,short
2026-05-18T12:33:22+00:00,UPS,247.0,24040.51,long
2026-05-18T12:33:22+00:00,URI,1.0,961.15,long
2026-05-18T12:33:22+00:00,USB,-98.0,-5175.6446,short
2026-05-18T12:33:22+00:00,VRSK,155.0,25195.25,long
2026-05-18T12:33:22+00:00,VTRS,-285.0,-4685.4,short
2026-05-18T12:33:22+00:00,WDAY,185.0,23126.85,long
2026-05-18T12:33:22+00:00,WMT,-46.0,-6058.66,short
2026-05-18T12:33:22+00:00,WTW,183.0,45453.54,long
2026-05-18T12:33:22+00:00,WYNN,441.0,42336.0,long
2026-05-18T12:33:22+00:00,XEL,-63.0,-4940.5986,short
2026-05-18T12:33:22+00:00,XOM,-37.0,-5878.93,short
2026-05-18T12:33:22+00:00,ZTS,299.0,22230.65,long
