timestamp_utc,action,do_rebalance,submit_orders,n_target_positions,n_planned_orders,n_submitted_orders,gross_exposure,long_exposure,short_exposure,status,equity,cash
2026-05-01_14:54:03,rebalance,True,True,102,102,102,1.6000000000000005,1.3,-0.3,ok,1000000.0,1000000.0
2026-05-01_15:08:50,rebalance,True,True,104,86,86,1.6,1.3,-0.3,ok,999301.0,26475.15
2026-05-04T13:20:45+00:00,hold,False,False,0,0,0,hold,994328.48,3047.45
2026-05-05T01:03:40+00:00,rebalance,True,True,112,130,130,1.6,1.3,-0.30000000000000004,ok,1017209.37,3047.45
