timestamp_utc,symbol,weight
2026-05-07T15:18:15+00:00,ACN,0.02267728479332575
2026-05-07T15:18:15+00:00,AEP,0.022184300341296932
2026-05-07T15:18:15+00:00,AKAM,0.02267728479332575
2026-05-07T15:18:15+00:00,ALB,-0.0051194539249146765
2026-05-07T15:18:15+00:00,ALGN,-0.005558264261335935
2026-05-07T15:18:15+00:00,AMD,-0.0052332195676905585
2026-05-07T15:18:15+00:00,ANET,0.02267728479332575
2026-05-07T15:18:15+00:00,APH,0.02267728479332575
2026-05-07T15:18:15+00:00,APTV,0.022184300341296932
2026-05-07T15:18:15+00:00,BA,-0.005558264261335935
2026-05-07T15:18:15+00:00,BBY,0.022184300341296932
2026-05-07T15:18:15+00:00,BK,-0.00534698521046644
2026-05-07T15:18:15+00:00,BKR,0.02514220705346986
2026-05-07T15:18:15+00:00,BLK,0.023170269245354574
2026-05-07T15:18:15+00:00,C,-0.00534698521046644
2026-05-07T15:18:15+00:00,CAT,-0.005558264261335935
2026-05-07T15:18:15+00:00,CCI,-0.008191126279863483
2026-05-07T15:18:15+00:00,CCL,-0.0051194539249146765
2026-05-07T15:18:15+00:00,CF,-0.0051194539249146765
2026-05-07T15:18:15+00:00,CFG,-0.00534698521046644
2026-05-07T15:18:15+00:00,CI,-0.005558264261335935
2026-05-07T15:18:15+00:00,CMCSA,0.022184300341296932
2026-05-07T15:18:15+00:00,CMG,0.022184300341296932
2026-05-07T15:18:15+00:00,CMI,-0.005558264261335935
2026-05-07T15:18:15+00:00,CNC,0.02408581179912238
2026-05-07T15:18:15+00:00,COF,0.023170269245354574
2026-05-07T15:18:15+00:00,COR,0.02408581179912238
2026-05-07T15:18:15+00:00,CSCO,-0.0052332195676905585
2026-05-07T15:18:15+00:00,CTSH,0.02267728479332575
2026-05-07T15:18:15+00:00,CVS,-0.005558264261335935
2026-05-07T15:18:15+00:00,DAL,-0.005558264261335935
2026-05-07T15:18:15+00:00,DE,-0.005558264261335935
2026-05-07T15:18:15+00:00,DELL,-0.0052332195676905585
2026-05-07T15:18:15+00:00,DHR,0.02408581179912238
2026-05-07T15:18:15+00:00,DLTR,0.026621160409556317
2026-05-07T15:18:15+00:00,DPZ,0.022184300341296932
2026-05-07T15:18:15+00:00,DUK,0.022184300341296932
2026-05-07T15:18:15+00:00,DVN,0.02514220705346986
2026-05-07T15:18:15+00:00,EBAY,-0.0051194539249146765
2026-05-07T15:18:15+00:00,ECL,0.022184300341296932
2026-05-07T15:18:15+00:00,EFX,0.02408581179912238
2026-05-07T15:18:15+00:00,EL,-0.006143344709897612
2026-05-07T15:18:15+00:00,EQT,-0.005802047781569967
2026-05-07T15:18:15+00:00,EXPE,-0.0051194539249146765
2026-05-07T15:18:15+00:00,FCX,-0.0051194539249146765
2026-05-07T15:18:15+00:00,FISV,0.023170269245354574
2026-05-07T15:18:15+00:00,FTNT,0.02267728479332575
2026-05-07T15:18:15+00:00,GE,0.02408581179912238
2026-05-07T15:18:15+00:00,GILD,-0.005558264261335935
2026-05-07T15:18:15+00:00,GIS,0.026621160409556317
2026-05-07T15:18:15+00:00,GM,-0.0051194539249146765
2026-05-07T15:18:15+00:00,GOOG,-0.0051194539249146765
2026-05-07T15:18:15+00:00,GOOGL,-0.0051194539249146765
2026-05-07T15:18:15+00:00,GS,-0.00534698521046644
